"id_original","base_original","timestamp","id_global","id_PGJ","id_SSC","id_C5","lat","lon","d_PGJ","d_SSC","d_C5","t_PGJ","t_SSC","t_C5"
"13186","SSC","27/10/2018, 07:45:00",625,"23087","13186",,19.350752,-99.163898,339.177134925794,,,14.9999999965075,,
"1828","SSC","23/02/2018, 14:02:59",479,"17674","1828","C5/180223/03207",19.501982,-99.073384,798.482220319975,,2.83844981392575,132.999999998719,,142.633333331323
"4354","SSC","13/05/2018, 19:40:00",537,"19412","4354","C5/180513/09289",19.292408,-99.10783,771.809829883312,,1504.77289900761,24.9999999976717,,10.3833333350485
"C5/180104/06139","C5","04/01/2018, 19:32:57",916,"16655","121","C5/180104/06139",19.42950996,-99.17389008,18.5960232740128,7.90645958222551,,17.0500000042375,22.0499999995809,
"12237","SSC","10/10/2018, 23:25:00",485,,"12237",,19.309907,-99.034204,,,,,,
"1894","SSC","25/02/2018, 07:20:00",506,"17723","1894","C5/180225/02232",19.380024,-99.027174,19.834517227862,,84.2103266813813,10.0000000011642,,30.0666666647885
"14293","SSC","16/11/2018, 05:00:00",742,"23517","14293","C5/181116/01048",19.331002,-99.144439,23.3644870703353,,36.2750530279939,0,,14.0000000037253
"23536","PGJ","16/11/2018, 18:40:00",389,"23536","14308","C5/181116/07667",19.4136197824245,-99.0862549044935,,1580.68970975679,1677.68400216224,,0,12.966666664579
"C5/181026/01492","C5","26/10/2018, 06:40:54",1096,"23049","13099","C5/181026/01492",19.28511999,-99.19787004,668.278232922925,85.4805957491709,,44.0999999991618,19.1000000014901,
"C5/180224/00865","C5","24/02/2018, 01:54:28",1070,"17692","1851","C5/180224/00865",19.34313003,-99.04362012,39.1282527035572,13.0405847881647,,5.5166666675359,5.5166666675359,
"C5/181103/05502","C5","03/11/2018, 14:31:28",1012,"23241","13584","C5/181103/05502",19.29996999,-99.26051004,41.4551877916788,309.748100160282,,16.533333332045,16.533333332045,
"C5/181006/01845","C5","06/10/2018, 04:46:08",828,"22580","11935","C5/181006/01845",19.35186003,-99.17742996,1472.32246488851,207.683281021393,,13.8666666654171,3.86666666949168,
"17859","PGJ","03/03/2018, 01:50:00",79,"17859",,,19.3591424737808,-99.1633374933553,,,,,,
"C5/180313/02143","C5","13/03/2018, 09:21:12",886,,,"C5/180313/02143",19.43053002,-99.05259996,,,,,,
"24324","PGJ","19/12/2018, 21:00:00",444,"24324","16228","C5/181219/08524",19.4457464994854,-99.1497852998015,,301.875234785249,373.26200863316,,5.00000000058208,12.0333333330927
"24360","PGJ","21/12/2018, 08:20:00",447,"24360","16349","C5/181221/01991",19.4742923762939,-99.1871483849399,,39.4492613003755,5.2105185304908,,0.99999999802094,5.01666666590609
